transaction_id,account_id,transaction_date,transaction_time,amount,merchant_name,merchant_category,location,card_present,fraud_type,risk_score
TXN000001,ACC77182,2025-11-07,23:26:16,55.21,Premium Electronics,Electronics,So Paulo Brazil,false,friendly_fraud,85
TXN000002,ACC99570,2025-10-25,05:40:07,468.68,Finance Direct,Financial Services,Sydney Australia,false,unauthorized_transaction,90
TXN000003,ACC78637,2025-10-31,17:41:47,1287.41,Retail Galaxy,Retail,Nairobi Kenya,false,identity_theft,99
TXN000004,ACC55243,2025-11-03,04:43:03,5579.68,Jewel Paradise,Jewelry,New York NY USA,false,card_testing,73
TXN000005,ACC92382,2025-10-27,19:00:02,4389.90,Cloud Services,Online Services,Vancouver Canada,false,identity_theft,94
TXN000006,ACC69186,2025-11-06,03:28:00,423.24,Airline Tickets Global,Travel,Rome Italy,false,card_testing,88
TXN000007,ACC76408,2025-11-06,14:32:16,661.15,Online Casino Games,Gambling,Lagos Nigeria,true,skimming_attack,73
TXN000008,ACC84197,2025-11-13,01:41:10,1011.43,Finance Direct,Financial Services,Paris France,false,duplicate_location,95
TXN000009,ACC79913,2025-10-23,00:47:40,2836.12,Gadget Store,Electronics,London UK,false,stolen_card,92
TXN000010,ACC77209,2025-11-12,07:41:55,1195.56,SuperMart Online,Retail,Mumbai India,true,skimming_attack,88
TXN000011,ACC43476,2025-10-16,17:48:41,403.03,Style Boutique,Fashion,Paris France,false,stolen_card,90
TXN000012,ACC25175,2025-11-08,04:52:26,426.32,ATM Withdrawal,Cash,Berlin Germany,false,synthetic_identity,96
TXN000013,ACC23009,2025-11-05,21:25:32,1931.92,Cloud Services,Online Services,Melbourne Australia,false,chargeback_fraud,90
TXN000014,ACC73565,2025-11-07,20:44:27,2957.65,SuperMart Online,Retail,Houston TX USA,false,card_testing,99
TXN000015,ACC45171,2025-11-03,01:53:52,1360.60,ATM Withdrawal,Cash,Tokyo Japan,false,card_testing,92
TXN000016,ACC89426,2025-10-29,00:13:38,966.06,Airline Tickets Global,Travel,Rome Italy,false,card_not_present,89
TXN000017,ACC30562,2025-11-09,11:06:31,2490.30,Bitcoin Hub,Cryptocurrency,Chicago IL USA,false,stolen_card,88
TXN000018,ACC33501,2025-10-30,13:03:46,878.91,Casino Royal,Gambling,Nairobi Kenya,false,wire_fraud,85
TXN000019,ACC30660,2025-11-14,20:57:28,6155.32,Money Withdrawal,Cash,Berlin Germany,false,card_testing,89
TXN000020,ACC41854,2025-11-10,17:44:44,1353.20,Tech Gadgets Pro,Electronics,Beijing China,false,counterfeit_merchant,93
TXN000021,ACC57216,2025-10-19,22:18:00,5538.56,Lucky Games Online,Gambling,Moscow Russia,false,identity_theft,84
